yasha@yasha-VirtualBox:~/embedUr-Training/Linux-Training$ ps -ef
UID          PID    PPID  C STIME TTY          TIME CMD
yasha       1620  0.0  0.0   9616  5328 ?        S    16:25   0:00 /usr/bin/dbus
yasha       1875  0.0  0.0 236068  7660 ?        Sl   16:25   0:00 /usr/libexec/
colord      1876  0.0  0.1 320072 14660 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       1891  0.0  0.1  39136 12148 ?        Ss   16:25   0:00 /snap/snapd-d
yasha       1919  0.0  0.2 654776 17776 ?        Sl   16:25   0:00 /usr/libexec/
yasha       1965  0.0  0.3 429648 31124 ?        Sl   16:25   0:00 /snap/snapd-d
yasha       1967  0.0  0.5 816532 43020 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       1983  0.0  0.3 2453676 26872 ?       Sl   16:25   0:00 /usr/bin/gjs 
root        1984  0.0  0.1 317280  9680 ?        Ssl  16:25   0:01 /usr/libexec/
yasha       1995  0.0  0.1 462372 12364 ?        Ssl  16:25   0:10 /usr/bin/ibus
yasha       1998  0.0  0.0 383520  6848 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2002  0.0  0.2 412976 20720 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2005  0.0  0.1 431672 12348 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2006  0.0  0.0 458872  8008 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2007  0.0  0.2 411832 19908 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2011  0.0  0.3 741548 26044 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2012  0.0  0.3 597324 24740 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2014  0.0  0.1 323628 11100 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2017  0.0  0.0 531084  6808 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2018  0.0  0.0 309560  6292 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2019  0.0  0.1 543188 11996 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2021  0.0  0.1 385820  8312 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2022  0.0  0.1 393636  9840 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2023  0.0  0.2 486400 21036 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2038  0.0  0.7 826300 60328 ?        Sl   16:25   0:00 /usr/libexec/
yasha       2049  0.0  0.0 305624  7724 ?        Sl   16:25   0:00 /usr/libexec/
yasha       2178  0.0  0.1 416236 15196 ?        Sl   16:25   0:00 /usr/libexec/
yasha       2192  0.0  0.3 546668 24420 ?        Sl   16:25   0:00 /usr/libexec/
yasha       2199  0.0  0.1 463052 11740 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2215  0.0  0.0 236644  7204 ?        Sl   16:25   0:00 /usr/libexec/
yasha       2221  0.0  0.3 421500 30180 ?        Sl   16:25   0:02 /usr/libexec/
yasha       2227  0.0  0.0 310424  7304 ?        Sl   16:25   0:00 /usr/libexec/
yasha       2246  0.0  0.3 694264 24472 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2262  0.0  0.1 389124  9420 ?        Sl   16:25   0:00 /usr/libexec/
yasha       2263  0.0  0.0 309772  6624 ?        Ssl  16:25   0:00 /usr/libexec/
